trial,type,wf,response,RT,correct,subj,length,delay,block
0,lure,HF,0,1.675999999,1,0,Long,Immed,b0
1,lure,LF,0,0.912999988,1,0,Long,Immed,b0
2,lure,HF,0,0.809000015,1,0,Long,Immed,b0
3,target,HF,1,0.86500001,1,0,Long,Immed,b0
4,target,LF,1,0.680999994,1,0,Long,Immed,b0
5,target,LF,1,0.625,1,0,Long,Immed,b0
6,lure,LF,0,1.024999976,1,0,Long,Immed,b0
7,target,LF,1,0.681999981,1,0,Long,Immed,b0
8,lure,HF,1,0.704999983,0,0,Long,Immed,b0
9,target,HF,1,1.248999953,1,0,Long,Immed,b0
10,target,HF,0,0.721000016,0,0,Long,Immed,b0
11,target,HF,1,0.760999978,1,0,Long,Immed,b0
12,lure,LF,0,0.689999998,1,0,Long,Immed,b0
13,target,LF,1,1.450000048,1,0,Long,Immed,b0
14,lure,LF,0,0.665000021,1,0,Long,Immed,b0
15,target,HF,0,0.873000026,0,0,Long,Immed,b0
16,target,LF,1,1.304999948,1,0,Long,Immed,b0
17,lure,LF,0,0.728999972,1,0,Long,Immed,b0
18,lure,HF,0,0.68900001,1,0,Long,Immed,b0
19,target,LF,1,1.049000025,1,0,Long,Immed,b0
20,lure,HF,0,0.704999983,1,0,Long,Immed,b0
21,target,HF,1,0.680999994,1,0,Long,Immed,b0
22,target,LF,1,0.962000012,1,0,Long,Immed,b0
23,lure,HF,0,0.680999994,1,0,Long,Immed,b0
24,lure,HF,0,0.777999997,1,0,Long,Immed,b1
25,target,HF,1,0.713,1,0,Long,Immed,b1
26,lure,LF,0,0.769999981,1,0,Long,Immed,b1
27,lure,LF,0,0.809000015,1,0,Long,Immed,b1
28,lure,HF,0,0.760999978,1,0,Long,Immed,b1
29,target,HF,1,0.800999999,1,0,Long,Immed,b1
30,lure,HF,0,0.800999999,1,0,Long,Immed,b1
31,lure,LF,0,0.800999999,1,0,Long,Immed,b1
32,target,HF,1,0.68900001,1,0,Long,Immed,b1
33,lure,HF,0,0.873000026,1,0,Long,Immed,b1
34,lure,LF,0,0.976999998,1,0,Long,Immed,b1
35,lure,LF,0,0.704999983,1,0,Long,Immed,b1
36,lure,HF,0,0.728999972,1,0,Long,Immed,b1
37,target,HF,1,0.768999994,1,0,Long,Immed,b1
38,target,LF,1,0.912999988,1,0,Long,Immed,b1
39,target,LF,1,0.769999981,1,0,Long,Immed,b1
40,target,HF,1,0.665000021,1,0,Long,Immed,b1
41,lure,HF,0,0.809000015,1,0,Long,Immed,b1
42,target,HF,1,0.633000016,1,0,Long,Immed,b1
43,target,LF,1,0.625,1,0,Long,Immed,b1
44,target,LF,1,0.736999989,1,0,Long,Immed,b1
45,lure,HF,0,0.753000021,1,0,Long,Immed,b1
46,target,HF,1,0.56099999,1,0,Long,Immed,b1
47,target,HF,1,1.057000041,1,0,Long,Immed,b1
48,target,LF,1,0.809000015,1,0,Long,Immed,b2
49,lure,HF,0,0.992999971,1,0,Long,Immed,b2
50,target,LF,1,1.032999992,1,0,Long,Immed,b2
51,target,LF,1,0.873000026,1,0,Long,Immed,b2
52,target,LF,1,0.848999977,1,0,Long,Immed,b2
53,target,HF,1,0.569000006,1,0,Long,Immed,b2
54,lure,HF,0,0.792999983,1,0,Long,Immed,b2
55,target,HF,1,0.657000005,1,0,Long,Immed,b2
56,lure,LF,0,1.154000044,1,0,Long,Immed,b2
57,target,LF,0,0.768999994,0,0,Long,Immed,b2
58,lure,HF,0,0.713,1,0,Long,Immed,b2
59,target,HF,0,0.665000021,0,0,Long,Immed,b2
60,lure,HF,0,0.753000021,1,0,Long,Immed,b2
61,lure,LF,0,0.713,1,0,Long,Immed,b2
62,target,LF,1,0.601000011,1,0,Long,Immed,b2
63,target,HF,1,0.985000014,1,0,Long,Immed,b2
64,target,LF,1,1.041000009,1,0,Long,Immed,b2
65,target,HF,1,1.024999976,1,0,Long,Immed,b2
66,lure,LF,0,1.088999987,1,0,Long,Immed,b2
67,lure,LF,0,0.769999981,1,0,Long,Immed,b2
68,target,HF,1,0.904999971,1,0,Long,Immed,b2
69,lure,LF,0,0.745999992,1,0,Long,Immed,b2
70,target,HF,0,1.090000033,0,0,Long,Immed,b2
71,lure,LF,0,0.768999994,1,0,Long,Immed,b2
72,lure,LF,0,1.097000003,1,0,Long,Immed,b3
73,lure,HF,0,1.409000039,1,0,Long,Immed,b3
74,lure,LF,0,0.736999989,1,0,Long,Immed,b3
75,lure,LF,0,1.113000035,1,0,Long,Immed,b3
76,target,HF,1,0.818000019,1,0,Long,Immed,b3
77,lure,LF,0,0.800999999,1,0,Long,Immed,b3
78,lure,HF,0,0.968999982,1,0,Long,Immed,b3
79,lure,HF,0,0.873000026,1,0,Long,Immed,b3
80,target,HF,1,1.152999997,1,0,Long,Immed,b3
81,target,LF,1,0.86500001,1,0,Long,Immed,b3
82,lure,LF,1,0.86500001,0,0,Long,Immed,b3
83,target,LF,1,0.753000021,1,0,Long,Immed,b3
84,lure,HF,0,0.737999976,1,0,Long,Immed,b3
85,target,LF,1,0.921000004,1,0,Long,Immed,b3
86,lure,HF,0,0.810000002,1,0,Long,Immed,b3
87,target,LF,1,0.792999983,1,0,Long,Immed,b3
88,lure,HF,0,0.833000004,1,0,Long,Immed,b3
89,target,LF,1,0.904999971,1,0,Long,Immed,b3
90,lure,HF,0,0.944999993,1,0,Long,Immed,b3
91,lure,LF,0,0.800999999,1,0,Long,Immed,b3
92,lure,LF,1,0.953000009,0,0,Long,Immed,b3
93,target,LF,1,1.241000056,1,0,Long,Immed,b3
94,target,HF,0,0.753000021,0,0,Long,Immed,b3
95,lure,LF,0,0.912999988,1,0,Long,Immed,b3
0,target,LF,1,1.34800005,1,0,Long,Delay,b0
1,lure,LF,0,0.873000026,1,0,Long,Delay,b0
2,lure,HF,1,1.200999975,0,0,Long,Delay,b0
3,lure,HF,0,0.649999976,1,0,Long,Delay,b0
